[2024-11-17T01:43:26.344+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-09-01.pdf already exists in S3. Skipping upload.
[2024-11-17T01:43:26.433+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-08-01.pdf already exists in S3. Skipping upload.
[2024-11-17T01:43:26.517+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-05-01.pdf already exists in S3. Skipping upload.
[2024-11-17T01:43:26.605+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-04-01.pdf already exists in S3. Skipping upload.
[2024-11-17T01:43:26.693+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-03-01.pdf already exists in S3. Skipping upload.
[2024-11-17T01:43:26.782+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-02-01.pdf already exists in S3. Skipping upload.
[2024-11-17T01:43:26.871+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-01-01.pdf already exists in S3. Skipping upload.
[2024-11-17T01:43:26.872+0000] {python.py:240} INFO - Done. Returned value was: None
[2024-11-17T01:43:26.886+0000] {taskinstance.py:340} INFO - ::group::Post task execution logs
[2024-11-17T01:43:26.887+0000] {taskinstance.py:352} INFO - Marking task as SUCCESS. dag_id=ETL_financial_reports, task_id=fetch_financial_reports_task, run_id=manual__2024-11-17T01:43:15.736274+00:00, execution_date=20241117T014315, start_date=20241117T014318, end_date=20241117T014326
[2024-11-17T01:43:26.960+0000] {local_task_job_runner.py:266} INFO - Task exited with return code 0
[2024-11-17T01:43:26.986+0000] {taskinstance.py:3895} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2024-11-17T01:43:26.991+0000] {local_task_job_runner.py:245} INFO - ::endgroup::
