[2024-11-26T01:37:03.373+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-07-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:37:03.452+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-06-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:37:03.539+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-05-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:37:03.628+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-04-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:37:03.710+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-03-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:37:03.795+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-02-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:37:03.880+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-01-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:37:03.966+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-12-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:37:04.054+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-11-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:37:04.137+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-10-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:37:04.222+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-09-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:37:04.307+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-08-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:37:04.394+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-05-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:37:04.480+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-04-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:37:04.562+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-03-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:37:04.641+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-02-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:37:04.726+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-01-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:37:04.727+0000] {python.py:240} INFO - Done. Returned value was: None
[2024-11-26T01:37:04.740+0000] {taskinstance.py:340} INFO - ::group::Post task execution logs
[2024-11-26T01:37:04.741+0000] {taskinstance.py:352} INFO - Marking task as SUCCESS. dag_id=ETL_financial_reports, task_id=fetch_financial_reports_task, run_id=manual__2024-11-26T01:36:54.192209+00:00, execution_date=20241126T013654, start_date=20241126T013656, end_date=20241126T013704
[2024-11-26T01:37:04.767+0000] {local_task_job_runner.py:266} INFO - Task exited with return code 0
[2024-11-26T01:37:04.791+0000] {taskinstance.py:3895} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2024-11-26T01:37:04.794+0000] {local_task_job_runner.py:245} INFO - ::endgroup::
